Record Id,Credit Risk,Installment rate_transformed,Residence Tenure_transformed,Existing credit_transformed,Dependents_transformed,Duration_transformed,Credit amt_transformed,Age_transformed,Current Ac status,SavingAc/Bonds,Emp Tenure,Debtors/Guarantors,Housing,Job,Telephone,Foreign Worker,credit_history_transformed,Status & Sex_female : divorce/seperated/married,Status & Sex_male : divorce/seperated,Status & Sex_male:married/widowed,Status & Sex_male:single,Property owned_building society savings agreement/ life insurance,Property owned_car or other,Property owned_real estate,Property owned_unknown / no property,Purpose_business,Purpose_car(new),Purpose_car(used),Purpose_domestic appliance,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/tv,Purpose_repairs,Purpose_retraining,Other Installemnt plans_bank,Other Installemnt plans_none,Other Installemnt plans_stores
1,1,4,4,2.000000,1,-1.260044,-0.787879,2.798803,1.000000,0.000000,4.000000,0.000000,1.000000,2.000000,"yes","yes","1.000000",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2,2,2,1.000000,1,2.314888,1.062538,-1.200367,2.000000,1.000000,2.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1,2,3,1.000000,2,-0.749340,-0.429172,1.199135,0.000000,1.000000,3.000000,0.000000,1.000000,1.000000,"none","yes","1.000000",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,1,2,4,1.000000,2,1.804183,1.809748,0.843653,1.000000,1.000000,3.000000,2.000000,2.000000,2.000000,"none","yes","2.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,2,3,4,2.000000,2,0.272070,0.644240,1.554617,1.000000,1.000000,2.000000,0.000000,2.000000,2.000000,"none","yes","0.000000",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
6,1,2,4,1.000000,2,1.293479,2.263646,-0.045051,0.000000,0.000000,2.000000,0.000000,2.000000,1.000000,"yes","yes","2.000000",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
7,1,3,4,1.000000,1,0.272070,-0.143213,1.554617,0.000000,3.000000,4.000000,0.000000,1.000000,2.000000,"none","yes","2.000000",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,1,2,2,1.000000,1,1.293479,1.448332,-0.045051,2.000000,1.000000,2.000000,0.000000,0.000000,3.000000,"yes","yes","2.000000",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9,1,2,4,1.000000,1,-0.749340,-0.056535,2.265580,0.000000,4.000000,3.000000,0.000000,1.000000,1.000000,"none","yes","2.000000",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10,2,4,2,2.000000,1,0.782774,0.785092,-0.667144,2.000000,1.000000,0.000000,0.000000,1.000000,3.000000,"none","yes","1.000000",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,2,3,1,1.000000,1,-0.749340,-0.739123,-0.933755,2.000000,1.000000,1.000000,0.000000,0.000000,2.000000,"none","yes","2.000000",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,2,3,4,1.000000,1,2.314888,0.426772,-1.022626,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,"none","yes","2.000000",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
